Unique.Squirrel.ID,Hectare,Shift,Date,Hectare.Squirrel.Number,Age,Weight,Primary.Fur.Color,Highlight.Fur.Color,Combination.of.Primary.and.Highlight.Color,Color.notes,Location,Above.Ground.Sighter.Measurement,Specific.Location,Running,Chasing,Climbing,Eating,Foraging,Other.Activities,Kuks,Quaas,Moans,Tail.flags,Tail.twitches,Approaches,Indifferent,Runs.from,Other.Interactions
7I-PM-1013-05,07I,PM,10132018,5,Adult,631.2646359,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,Rock,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,
31A-AM-1010-01,31A,AM,10102018,1,Adult,524.2023311,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,
35E-PM-1006-03,35E,PM,10062018,3,Adult,877.4175335,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
1D-AM-1006-02,01D,AM,10062018,2,Juvenile,647.4020134,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,
14H-PM-1012-01,14H,PM,10122018,1,Adult,112.2848213,Gray,"Black, Cinnamon, White","Gray+Black, Cinnamon, White",,Ground Plane,FALSE,,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,approaches (came very close to me)
14H-AM-1007-04,14H,AM,10072018,4,Juvenile,385.3944808,Gray,White,Gray+White,,Ground Plane,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,
8I-PM-1013-01,08I,PM,10132018,1,Adult,510.7409108,Gray,"Cinnamon, White","Gray+Cinnamon, White",,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
9B-PM-1013-02,09B,PM,10132018,2,Juvenile,651.2723609,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,
8B-PM-1012-08,08B,PM,10122018,8,Adult,411.712983,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
9G-AM-1007-02,09G,AM,10072018,2,Adult,487.6391776,Gray,,Gray+,,Above Ground,25,,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,kids were trying to poke it with a stick
13B-PM-1008-01,13B,PM,10082018,1,Adult,649.3459837,Gray,White,Gray+White,,Above Ground,2,on railing,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
31F-PM-1007-04,31F,PM,10072018,4,Adult,496.7606595,Gray,,Gray+,,Ground Plane,FALSE,,FALSE,FALSE,FALSE,FALSE,TRUE,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,
21G-AM-1014-02,21G,AM,10142018,2,Adult,232.3475232,Gray,White,Gray+White,,Above Ground,3,fence,FALSE,FALSE,TRUE,FALSE,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,
